rosbagTimestamp,x,y
1409977000000,0.25,2.7417945121
1409990000000,0.25,2.7512748879
1410004000000,0.25,2.7607609453
1410018000000,0.25,2.7702508448
1410019000000,0.25,2.7797355141
1410032000000,0.25,2.789214643
1410037000000,0.25,2.7986961612
1410052000000,0.25,2.8081845567
1410066000000,0.25,2.8176716391
1410080000000,0.25,2.8271515467
1410080000000,0.25,2.8366308213
1410093000000,0.25,2.8461135992
1410097000000,0.25,2.8556010217
1410111000000,0.25,2.8650844601
1410117000000,0.25,2.8745621443
1410130000000,0.25,2.8840409205
1410144000000,0.25,2.8935262005
1410157000000,0.25,2.9030115816
1410158000000,0.25,2.9124903468
1410171000000,0.25,2.9219661985
1410177000000,0.25,2.9314473668
1410190000000,0.25,2.9409332008
1410204000000,0.25,2.9504142428
1410217000000,0.25,2.9598891739
1410218000000,0.25,2.9693657522
1410231000000,0.25,2.9788495296
1410237000000,0.25,2.9883328955
1410251000000,0.25,2.9978089115
1410265000000,0.25,3.0072839509
1410278000000,0.25,3.0167615559
1410279000000,0.25,3.02624445
1410292000000,0.25,3.0357239003
1410297000000,0.25,3.04519746
1410311000000,0.25,3.0546715386
1410317000000,0.25,3.0641519507
1410331000000,0.25,3.0736330974
1410345000000,0.25,3.0831078442
1410358000000,0.25,3.0925792311
1410359000000,0.25,3.1020553982
1410372000000,0.25,3.1115365994
1410377000000,0.25,3.1210135824
1410390000000,0.25,3.1304842693
1410404000000,0.25,3.1399559693
1410418000000,0.25,3.1494347239
1410419000000,0.25,3.1589137855
1410431000000,0.25,3.1683856918
1410437000000,0.25,3.1778543039
1410450000000,0.25,3.1873285277
1410463000000,0.25,3.1968079883
1410477000000,0.25,3.206282382
1410490000000,0.25,3.2157500837
1410491000000,0.25,3.2252193635
1410504000000,0.25,3.2346964671
1410507000000,0.25,3.2441721603
1410517000000,0.25,3.2536427218
1410530000000,0.25,3.2631092527
1410544000000,0.25,3.2725801091
1410558000000,0.25,3.2820565762
1410558000000,0.25,3.291529375
1410572000000,0.25,3.3009954805
1410577000000,0.25,3.3104618955
1410591000000,0.25,3.3199354169
1410604000000,0.25,3.3294101048
1410618000000,0.25,3.3388776713
1410619000000,0.25,3.3483412487
1410632000000,0.25,3.3578099413
1410637000000,0.25,3.367284572
1410650000000,0.25,3.3767547198
1410664000000,0.25,3.386217704
1410678000000,0.25,3.3956814902
1410679000000,0.25,3.4051532136
1410692000000,0.25,3.4146244669
1410697000000,0.25,3.4240906436
1410710000000,0.25,3.4335519527
1410717000000,0.25,3.4430170554
1410731000000,0.25,3.452488582
1410744000000,0.25,3.4619571269
1410758000000,0.25,3.4714183939
1410758000000,0.25,3.4808790913
1410771000000,0.25,3.4903470492
